FDC_ID,Item,Category,Calories,Protein,Carbohydrate,Total fat,Cholesterol,Fiber,Water,Alcohol,Vitamin C
173665,"Alcoholic beverage, liqueur, coffee, 63 proof",Beverages,308.0 kcal,0.1 g,32.2 g,0.3 g,0.0 mg,0.0 g,41.4 g,26.0 g,0.0 mg
173666,"Lemonade, frozen concentrate, pink",Beverages,192.0 kcal,0.22 g,48.86 g,0.69 g,0.0 mg,0.3 g,50.09 g,0.0 g,14.1 mg
173667,"Beverages, lemonade, frozen concentrate, pink, prepared with water",Beverages,43.0 kcal,0.05 g,10.81 g,0.15 g,0.0 mg,0.1 g,88.88 g,0.0 g,3.1 mg
174108,"Beverages,  Energy drink, Citrus",Beverages,45.0 kcal,0.0 g,11.27 g,0.0 g,0.0 mg,0.0 g,88.45 g,0.0 g,25.0 mg
174109,"Alcoholic Beverage, wine, table, red, Mouvedre",Beverages,88.0 kcal,0.07 g,2.64 g,0.0 g,,,85.81 g,11.2 g,
174110,"Alcoholic beverage, wine, table, white, Chardonnay",Beverages,84.0 kcal,0.07 g,2.16 g,0.0 g,,0.0 g,86.85 g,10.7 g,0.0 mg
174111,"Beverages, Kiwi Strawberry Juice Drink",Beverages,47.0 kcal,0.0 g,12.26 g,0.0 g,0.0 mg,0.0 g,87.74 g,0.0 g,24.7 mg
174112,"Beverages, Apple juice drink, light, fortified with vitamin C",Beverages,22.0 kcal,0.0 g,5.1 g,0.1 g,0.0 mg,0.0 g,94.84 g,0.0 g,24.0 mg
174113,"Beverages, POWERADE, Zero, Mixed Berry",Beverages,0.0 kcal,0.0 g,0.14 g,0.0 g,0.0 mg,0.0 g,99.35 g,0.0 g,0.0 mg
174114,"Beverages, Carob-flavor beverage mix, powder",Beverages,372.0 kcal,1.8 g,93.3 g,0.2 g,0.0 mg,8.0 g,2.9 g,,0.0 mg
174115,"Beverages, Carob-flavor beverage mix, powder, prepared with whole milk",Beverages,75.0 kcal,3.16 g,8.68 g,3.11 g,10.0 mg,0.4 g,84.32 g,,0.0 mg
174116,"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",Beverages,31.0 kcal,0.21 g,2.92 g,2.08 g,0.0 mg,0.0 g,94.57 g,0.0 g,0.0 mg
174117,"Beverages, chocolate syrup",Beverages,279.0 kcal,2.1 g,65.1 g,1.13 g,0.0 mg,2.6 g,31.0 g,0.0 g,0.2 mg
174118,"Beverages, chocolate syrup, prepared with whole milk",Beverages,90.0 kcal,3.07 g,12.78 g,2.96 g,9.0 mg,0.3 g,80.51 g,0.0 g,0.0 mg
174119,"Beverages, coffee, ready to drink, iced, mocha, milk based",Beverages,60.0 kcal,1.48 g,11.42 g,0.98 g,0.0 mg,0.0 g,85.68 g,0.0 g,0.0 mg
174120,"Beverages, tea, Oolong, brewed",Beverages,1.0 kcal,0.0 g,0.15 g,0.0 g,0.0 mg,0.0 g,99.84 g,0.0 g,0.0 mg
174121,"Beverages, tea, green, ready-to-drink, citrus, diet, fortified with vitamin C",Beverages,1.0 kcal,0.0 g,0.31 g,0.0 g,0.0 mg,0.0 g,99.62 g,0.0 g,39.3 mg
174122,"Beverages, Cocoa mix, powder",Beverages,398.0 kcal,6.67 g,83.73 g,4.0 g,0.0 mg,3.7 g,1.5 g,0.0 g,0.2 mg
174123,"Beverages, Cocoa mix, powder, prepared with water",Beverages,55.0 kcal,0.92 g,11.54 g,0.55 g,0.0 mg,0.5 g,86.34 g,0.0 g,0.0 mg
174124,"Beverages, Cocoa mix, NESTLE, Hot Cocoa Mix Rich Chocolate With Marshmallows",Beverages,400.0 kcal,2.8 g,75.0 g,15.0 g,0.0 mg,3.7 g,4.18 g,,0.0 mg
174125,"Beverages, coffee, brewed, espresso, restaurant-prepared, decaffeinated",Beverages,9.0 kcal,0.1 g,1.69 g,0.18 g,0.0 mg,0.0 g,97.8 g,0.0 g,0.2 mg
174126,"Beverages, coffee, instant, regular, half the caffeine",Beverages,352.0 kcal,14.42 g,73.18 g,0.5 g,0.0 mg,0.0 g,3.1 g,0.0 g,0.0 mg
174127,"Beverages, coffee and cocoa, instant, decaffeinated, with whitener and low calorie sweetener",Beverages,440.0 kcal,9.0 g,71.4 g,13.21 g,0.0 mg,4.8 g,3.1 g,0.0 g,0.0 mg
174128,"Beverages, tea, green, ready-to-drink, sweetened",Beverages,27.0 kcal,0.0 g,6.2 g,0.22 g,0.0 mg,0.0 g,93.54 g,0.0 g,0.0 mg
174129,"Beverages, tea, ready-to-drink, lemon, diet",Beverages,2.0 kcal,0.0 g,0.41 g,0.0 g,0.0 mg,0.0 g,99.55 g,0.0 g,0.0 mg
174130,"Beverages, coffee, instant, regular, prepared with water",Beverages,2.0 kcal,0.1 g,0.34 g,0.0 g,0.0 mg,0.0 g,99.09 g,0.0 g,0.0 mg
174131,"Beverages, aloe vera juice drink, fortified with Vitamin C",Beverages,15.0 kcal,0.0 g,3.75 g,0.0 g,0.0 mg,0.0 g,96.23 g,0.0 g,3.8 mg
174132,"Beverages, OCEAN SPRAY, Cran Grape",Beverages,54.0 kcal,0.21 g,13.16 g,0.0 g,1.0 mg,0.6 g,86.5 g,0.0 g,28.1 mg
174133,"Beverages, coffee, instant, decaffeinated, powder",Beverages,351.0 kcal,11.6 g,76.0 g,0.2 g,0.0 mg,0.0 g,3.2 g,0.0 g,0.0 mg
174134,"Beverages, coffee, instant, chicory",Beverages,3.0 kcal,0.09 g,0.75 g,0.0 g,0.0 mg,0.0 g,98.94 g,0.0 g,0.0 mg
174135,"Beverages, coffee, instant, mocha, sweetened",Beverages,460.0 kcal,5.29 g,74.04 g,15.87 g,0.0 mg,1.9 g,1.7 g,0.0 g,0.6 mg
174136,"Beverages, OCEAN SPRAY, Light Cranberry and Raspberry Flavored Juice",Beverages,26.0 kcal,0.73 g,5.77 g,0.0 g,0.0 mg,0.7 g,93.8 g,0.0 g,32.9 mg
174137,"Beverages, OCEAN SPRAY, White Cranberry Strawberry Flavored Juice Drink",Beverages,49.0 kcal,0.22 g,11.98 g,0.01 g,0.0 mg,0.6 g,88.0 g,0.0 g,26.7 mg
174138,"Beverages, coffee substitute, cereal grain beverage, powder",Beverages,360.0 kcal,6.01 g,78.42 g,2.52 g,0.0 mg,23.3 g,7.99 g,0.0 g,0.0 mg
174139,"Beverages, coffee substitute, cereal grain beverage, prepared with water",Beverages,6.0 kcal,0.1 g,1.3 g,0.04 g,0.0 mg,0.4 g,98.37 g,0.0 g,0.0 mg
174140,"Beverages, cranberry-apple juice drink, bottled",Beverages,63.0 kcal,0.0 g,15.85 g,0.11 g,0.0 mg,0.0 g,83.78 g,0.0 g,39.5 mg
174141,"Alcoholic beverage, malt beer, hard lemonade",Beverages,68.0 kcal,0.0 g,10.07 g,0.0 g,0.0 mg,0.0 g,85.74 g,4.0 g,2.8 mg
174142,"Beverages, cranberry-apricot juice drink, bottled",Beverages,64.0 kcal,0.2 g,16.2 g,0.0 g,0.0 mg,0.1 g,83.5 g,,0.0 mg
174143,"Beverages, tea, green, instant, decaffeinated, lemon, unsweetened, fortified with vitamin C",Beverages,378.0 kcal,0.0 g,94.45 g,0.0 g,0.0 mg,0.0 g,5.09 g,0.0 g,1342.3 mg
174144,"Beverages, tea, black, ready to drink",Beverages,0.0 kcal,0.0 g,0.0 g,0.0 g,0.0 mg,0.0 g,97.89 g,0.0 g,0.0 mg
174145,"Alcoholic beverage, beer, light, higher alcohol",Beverages,46.0 kcal,0.25 g,0.77 g,0.0 g,0.0 mg,0.0 g,92.88 g,6.0 g,0.0 mg
174146,"Beverages, AMBER, hard cider",Beverages,56.0 kcal,0.0 g,5.92 g,0.0 g,0.0 mg,0.0 g,89.0 g,4.0 g,2.3 mg
174147,"Beverages, OCEAN SPRAY, Cran Cherry",Beverages,46.0 kcal,0.19 g,12.76 g,0.0 g,0.0 mg,0.6 g,87.0 g,0.0 g,24.4 mg
174148,"Beverages, OCEAN SPRAY, Light Cranberry",Beverages,19.0 kcal,0.22 g,4.72 g,0.01 g,0.0 mg,0.7 g,95.3 g,0.0 g,0.8 mg
174149,"Beverages, OCEAN SPRAY, White Cranberry Peach",Beverages,45.0 kcal,0.13 g,11.88 g,0.01 g,0.0 mg,0.6 g,87.8 g,0.0 g,27.1 mg
174150,"Beverages, OCEAN SPRAY, Light Cranberry, Concord Grape",Beverages,23.0 kcal,0.36 g,5.78 g,0.02 g,0.0 mg,0.7 g,93.4 g,0.0 g,34.1 mg
174151,"Beverages, Fruit punch drink, with added nutrients, canned",Beverages,47.0 kcal,0.0 g,11.94 g,0.0 g,0.0 mg,0.2 g,87.97 g,0.0 g,29.6 mg
174152,"Beverages, Fruit punch drink, frozen concentrate",Beverages,162.0 kcal,0.2 g,41.4 g,0.0 g,0.0 mg,0.4 g,58.2 g,,155.6 mg
174153,"Beverages, Fruit punch drink, frozen concentrate, prepared with water",Beverages,46.0 kcal,0.06 g,11.66 g,0.0 g,0.0 mg,0.1 g,88.15 g,0.0 g,43.8 mg
174154,"Beverages, coffee, instant, vanilla, sweetened, decaffeinated, with non dairy creamer",Beverages,465.0 kcal,0.0 g,86.28 g,13.33 g,0.0 mg,0.0 g,0.16 g,0.0 g,0.0 mg
174155,"Beverages, tea, black, brewed, prepared with distilled water",Beverages,1.0 kcal,0.0 g,0.3 g,0.0 g,0.0 mg,0.0 g,99.7 g,,0.0 mg
174156,"Beverages, tea, herb, brewed, chamomile",Beverages,1.0 kcal,0.0 g,0.2 g,0.0 g,0.0 mg,0.0 g,99.7 g,0.0 g,0.0 mg
174157,"Beverages, Wine, non-alcoholic",Beverages,6.0 kcal,0.5 g,1.1 g,0.0 g,0.0 mg,0.0 g,98.2 g,0.0 g,0.0 mg
174158,"Water, bottled, generic",Beverages,0.0 kcal,0.0 g,0.0 g,0.0 g,0.0 mg,0.0 g,99.98 g,0.0 g,0.0 mg
174159,"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients",Beverages,400.0 kcal,4.55 g,90.28 g,2.27 g,0.0 mg,4.5 g,1.1 g,0.0 g,27.3 mg
174160,"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients, prepared with whole milk",Beverages,89.0 kcal,3.27 g,11.87 g,3.17 g,10.0 mg,0.4 g,80.93 g,0.0 g,2.3 mg
174161,"Beverages, Water with added vitamins and minerals, bottles, sweetened, assorted fruit flavors",Beverages,22.0 kcal,0.0 g,5.49 g,0.0 g,0.0 mg,0.0 g,94.44 g,0.0 g,12.7 mg
174162,"Beverages, V8 SPLASH Juice Drinks, Diet Berry Blend",Beverages,4.0 kcal,0.0 g,1.23 g,0.0 g,,,98.7 g,,24.7 mg
174163,"Beverages, V8 SPLASH Juice Drinks, Diet Fruit Medley",Beverages,4.0 kcal,0.0 g,1.26 g,0.0 g,,,98.8 g,,25.2 mg
174164,"Beverages, V8 SPLASH Juice Drinks, Diet Strawberry Kiwi",Beverages,4.0 kcal,0.0 g,1.26 g,0.0 g,,,98.8 g,,25.2 mg
174165,"Beverages, V8 SPLASH Juice Drinks, Mango Peach",Beverages,33.0 kcal,0.0 g,8.23 g,0.0 g,,,91.6 g,,24.7 mg
174166,"Beverages, V8 SPLASH Juice Drinks, Orange Pineapple",Beverages,29.0 kcal,0.0 g,7.41 g,0.0 g,,,91.9 g,,24.7 mg
174167,"Beverages, V8 SPLASH Juice Drinks, Orchard Blend",Beverages,33.0 kcal,0.0 g,7.82 g,0.0 g,,,92.2 g,,24.7 mg
174168,"Beverages, V8 SPLASH Juice Drinks, Strawberry Banana",Beverages,29.0 kcal,0.0 g,7.41 g,0.0 g,,,92.2 g,,24.7 mg
174169,"Beverages, V8 V-FUSION Juices, Tropical",Beverages,49.0 kcal,0.41 g,11.38 g,0.0 g,,0.0 g,88.0 g,,24.4 mg
174170,"Beverages, V8 V- FUSION Juices, Acai Berry",Beverages,45.0 kcal,0.0 g,10.98 g,0.0 g,0.0 mg,0.0 g,88.4 g,,40.7 mg
174171,"Beverages, Energy drink, AMP",Beverages,46.0 kcal,0.25 g,12.08 g,0.08 g,0.0 mg,0.0 g,87.3 g,0.0 g,0.0 mg
174172,"Beverages, Energy drink, FULL THROTTLE",Beverages,46.0 kcal,0.25 g,12.08 g,0.08 g,0.0 mg,0.0 g,87.3 g,0.0 g,0.0 mg
174173,"Beverages, Vegetable and fruit juice drink, reduced calorie, with low-calorie sweetener, added vitamin C",Beverages,4.0 kcal,0.0 g,1.1 g,0.0 g,0.0 mg,0.0 g,98.78 g,0.0 g,25.1 mg
174174,"Beverages, milk beverage, reduced fat, flavored and sweetened, Ready-to-drink,  added calcium, vitamin A and vitamin D",Beverages,77.0 kcal,3.05 g,12.08 g,1.83 g,8.0 mg,0.4 g,82.32 g,0.0 g,0.2 mg
174175,"Beverages, vegetable and fruit juice blend, 100% juice, with added vitamins A, C, E",Beverages,46.0 kcal,0.3 g,11.15 g,0.01 g,0.0 mg,0.0 g,88.4 g,0.0 g,28.5 mg
174176,"Beverages, fruit juice drink, reduced sugar, with vitamin E added",Beverages,39.0 kcal,0.0 g,10.0 g,0.07 g,0.0 mg,0.0 g,87.58 g,0.0 g,0.0 mg
174177,"Beverages, Energy drink, VAULT Zero, sugar-free, citrus flavor",Beverages,1.0 kcal,0.25 g,0.7 g,0.08 g,0.0 mg,0.0 g,98.35 g,0.0 g,0.0 mg
174178,"Beverages, PEPSICO QUAKER, Gatorade G2, low calorie",Beverages,8.0 kcal,0.05 g,1.94 g,0.01 g,0.0 mg,0.0 g,97.94 g,0.0 g,0.0 mg
174179,"Beverages, Fruit flavored drink, less than 3% juice, not fortified with vitamin C",Beverages,64.0 kcal,0.0 g,16.03 g,0.0 g,0.0 mg,0.0 g,83.87 g,0.0 g,0.0 mg
174180,"Beverages, Fruit flavored drink containing less than 3% fruit juice, with high vitamin C",Beverages,27.0 kcal,0.0 g,6.67 g,0.0 g,0.0 mg,0.0 g,93.2 g,0.0 g,25.0 mg
174181,"Beverages, nutritional shake mix, high protein, powder",Beverages,392.0 kcal,53.57 g,20.38 g,10.71 g,0.0 mg,0.0 g,8.3 g,0.0 g,75.0 mg
174809,"Beverages, THE COCA-COLA COMPANY, NOS Zero, energy drink, sugar-free with guarana, fortified with vitamins B6 and B12",Beverages,4.0 kcal,0.0 g,1.03 g,0.0 g,0.0 mg,0.0 g,98.35 g,0.0 g,0.0 mg
174810,"Alcoholic beverage, whiskey sour, canned",Beverages,119.0 kcal,0.0 g,13.4 g,0.0 g,0.0 mg,0.1 g,76.9 g,9.5 g,1.6 mg
174811,"Beverages, Whiskey sour mix, bottled",Beverages,87.0 kcal,0.1 g,21.4 g,0.1 g,0.0 mg,0.0 g,78.2 g,0.0 g,2.7 mg
174812,"Alcoholic beverage, whiskey sour, prepared from item 14028",Beverages,153.0 kcal,0.06 g,12.82 g,0.06 g,0.0 mg,0.0 g,72.44 g,14.5 g,1.6 mg
174813,"Beverages, ABBOTT, EAS soy protein powder",Beverages,405.0 kcal,47.62 g,43.94 g,3.57 g,0.0 mg,0.0 g,2.83 g,0.0 g,0.0 mg
174814,"Beverages, CYTOSPORT, Muscle Milk, ready-to-drink",Beverages,52.0 kcal,5.87 g,2.28 g,2.17 g,2.0 mg,0.2 g,89.0 g,0.0 g,27.6 mg
174815,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",Beverages,231.0 kcal,0.0 g,0.0 g,0.0 g,0.0 mg,0.0 g,66.6 g,33.4 g,0.0 mg
174816,"Beverages, OCEAN SPRAY, Cran-Energy, Cranberry Energy Juice Drink",Beverages,15.0 kcal,0.0 g,3.75 g,0.0 g,0.0 mg,0.0 g,96.18 g,0.0 g,25.0 mg
174817,"Alcoholic beverage, distilled, rum, 80 proof",Beverages,231.0 kcal,0.0 g,0.0 g,0.0 g,0.0 mg,0.0 g,66.6 g,33.4 g,0.0 mg
174818,"Alcoholic beverage, distilled, vodka, 80 proof",Beverages,231.0 kcal,0.0 g,0.0 g,0.0 g,0.0 mg,0.0 g,66.6 g,33.4 g,0.0 mg
174819,"Alcoholic beverage, distilled, whiskey, 86 proof",Beverages,250.0 kcal,0.0 g,0.1 g,0.0 g,0.0 mg,0.0 g,63.9 g,36.0 g,0.0 mg
174820,"Beverages, almond milk, chocolate, ready-to-drink",Beverages,50.0 kcal,0.63 g,9.38 g,1.25 g,0.0 mg,0.4 g,88.43 g,0.0 g,4.4 mg
174821,"Beverages, Energy Drink with carbonated water and high fructose corn syrup",Beverages,62.0 kcal,0.42 g,15.0 g,0.0 g,0.0 mg,0.0 g,84.52 g,0.0 g,25.0 mg
174822,"Beverages, Energy Drink, sugar free",Beverages,4.0 kcal,0.42 g,0.42 g,0.0 g,0.0 mg,0.0 g,99.11 g,0.0 g,25.0 mg
174823,"Beverages, ABBOTT, ENSURE, Nutritional Shake, Ready-to-Drink",Beverages,105.0 kcal,3.8 g,16.88 g,2.53 g,2.0 mg,0.0 g,76.2 g,0.0 g,12.7 mg
174824,"Beverages, chocolate powder, no sugar added",Beverages,350.0 kcal,9.09 g,68.31 g,4.5 g,0.0 mg,9.1 g,7.4 g,0.0 g,54.5 mg
174825,"Beverages, ZEVIA, cola",Beverages,0.0 kcal,0.0 g,1.13 g,0.0 g,0.0 mg,0.0 g,98.36 g,0.0 g,0.0 mg
174826,"Beverages, ZEVIA, cola, caffeine free",Beverages,0.0 kcal,0.0 g,1.13 g,0.0 g,0.0 mg,0.0 g,98.87 g,0.0 g,0.0 mg
174827,"Beverages, GEROLSTEINER BRUNNEN GmbH & Co. KG,Gerolsteiner naturally sparkling mineral water,",Beverages,0.0 kcal,0.0 g,0.0 g,0.0 g,0.0 mg,0.0 g,99.95 g,0.0 g,0.0 mg
174828,"Beverages, yellow green colored citrus soft drink with caffeine",Beverages,49.0 kcal,0.0 g,12.83 g,0.0 g,0.0 mg,0.0 g,86.89 g,0.0 g,0.0 mg
174829,"Beverages, V8 SPLASH Smoothies, Strawberry Banana",Beverages,37.0 kcal,1.22 g,8.16 g,0.0 g,0.0 mg,0.0 g,90.28 g,,24.5 mg
174830,"Beverages, V8 SPLASH Smoothies, Tropical Colada",Beverages,41.0 kcal,1.22 g,8.54 g,0.0 g,0.0 mg,0.4 g,90.28 g,,24.4 mg
174831,"Beverages, Coconut water, ready-to-drink, unsweetened",Beverages,18.0 kcal,0.22 g,4.24 g,0.0 g,0.0 mg,0.0 g,95.03 g,0.0 g,9.9 mg
174832,"Beverages, almond milk, unsweetened, shelf stable",Beverages,15.0 kcal,0.4 g,1.31 g,0.96 g,0.0 mg,0.2 g,96.54 g,0.0 g,0.0 mg
174833,"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",Beverages,83.0 kcal,0.07 g,2.6 g,0.0 g,,,86.56 g,10.5 g,
174834,"Alcoholic Beverage, wine, table, red, Cabernet Franc",Beverages,83.0 kcal,0.07 g,2.45 g,0.0 g,,,86.59 g,10.6 g,
174835,"Alcoholic Beverage, wine, table, red, Pinot Noir",Beverages,82.0 kcal,0.07 g,2.31 g,0.0 g,,,86.94 g,10.4 g,
174836,"Alcoholic Beverage, wine, table, red, Syrah",Beverages,83.0 kcal,0.07 g,2.58 g,0.0 g,,,86.53 g,10.5 g,
174837,"Alcoholic beverage, wine, table, white",Beverages,82.0 kcal,0.07 g,2.6 g,0.0 g,0.0 mg,0.0 g,86.86 g,10.3 g,0.0 mg
174838,"Alcoholic Beverage, wine, table, red, Lemberger",Beverages,80.0 kcal,0.07 g,2.46 g,0.0 g,,,87.02 g,10.2 g,
174839,"Alcoholic Beverage, wine, table, red, Sangiovese",Beverages,86.0 kcal,0.07 g,2.62 g,0.0 g,,,86.17 g,10.9 g,
174840,"Alcoholic Beverage, wine, table, red, Carignane",Beverages,74.0 kcal,0.07 g,2.4 g,0.0 g,,,87.88 g,9.3 g,
174841,"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",Beverages,83.0 kcal,0.07 g,2.06 g,0.0 g,,,86.98 g,10.7 g,
174842,"Beverages, carbonated, club soda",Beverages,0.0 kcal,0.0 g,0.0 g,0.0 g,0.0 mg,0.0 g,99.9 g,0.0 g,0.0 mg
174843,"Alcoholic beverage, wine, table, white, Gewurztraminer",Beverages,81.0 kcal,0.07 g,2.6 g,0.0 g,,,87.03 g,10.1 g,
174844,"Alcoholic beverage, wine, table, white, late harvest, Gewurztraminer",Beverages,108.0 kcal,0.07 g,11.39 g,0.0 g,,,79.4 g,8.9 g,
174845,"Alcoholic beverage, wine, table, white, Semillon",Beverages,82.0 kcal,0.07 g,3.12 g,0.0 g,,,86.54 g,10.1 g,
174846,"Beverages, carbonated, ginger ale",Beverages,34.0 kcal,0.0 g,8.76 g,0.0 g,0.0 mg,0.0 g,91.23 g,0.0 g,0.0 mg
174847,"Beverages, NESTEA, tea, black, ready-to-drink, lemon",Beverages,36.0 kcal,0.0 g,9.09 g,0.0 g,,0.0 g,91.18 g,,
174848,"Alcoholic beverage, wine, table, white, Pinot Blanc",Beverages,81.0 kcal,0.07 g,1.94 g,0.0 g,,,87.14 g,10.6 g,
174849,"Alcoholic beverage, wine, table, white, Muscat",Beverages,82.0 kcal,0.07 g,5.23 g,0.0 g,,,85.69 g,8.8 g,
174850,"Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, without caffeine",Beverages,1.0 kcal,0.12 g,0.12 g,0.0 g,0.0 mg,0.0 g,99.74 g,0.0 g,0.0 mg
174851,"Beverages, carbonated, cola, without caffeine",Beverages,41.0 kcal,0.0 g,10.58 g,0.0 g,0.0 mg,0.0 g,89.62 g,0.0 g,0.0 mg
174852,"Beverages, carbonated, cola, regular",Beverages,42.0 kcal,0.0 g,10.36 g,0.25 g,0.0 mg,0.0 g,89.36 g,0.0 g,0.0 mg
174853,"Beverages, carbonated, reduced sugar, cola, contains caffeine and sweeteners",Beverages,20.0 kcal,0.0 g,5.16 g,0.0 g,0.0 mg,0.0 g,94.78 g,0.0 g,0.0 mg
174854,"Beverages, carbonated, orange",Beverages,48.0 kcal,0.0 g,12.3 g,0.0 g,0.0 mg,0.0 g,87.6 g,0.0 g,0.0 mg
174855,"Beverages, tea, black, ready-to-drink, peach, diet",Beverages,1.0 kcal,0.0 g,0.25 g,0.0 g,0.0 mg,0.0 g,99.68 g,0.0 g,5.2 mg
174856,"Beverages, OCEAN SPRAY, Ruby Red cranberry",Beverages,45.0 kcal,0.07 g,11.58 g,0.01 g,0.0 mg,0.6 g,88.26 g,0.0 g,27.1 mg
174857,"Beverages, MOTTS, Apple juice light, fortified with vitamin C",Beverages,22.0 kcal,0.0 g,5.1 g,0.1 g,0.0 mg,0.0 g,94.8 g,,24.0 mg
174858,"Beverages, Lemonade, powder",Beverages,376.0 kcal,0.0 g,97.57 g,1.05 g,0.0 mg,0.4 g,1.43 g,0.0 g,39.9 mg
174859,"Lemonade, powder, prepared with water",Beverages,14.0 kcal,0.0 g,3.59 g,0.04 g,0.0 mg,0.0 g,96.26 g,0.0 g,1.5 mg
174860,"Beverages, lemonade-flavor drink, powder",Beverages,380.0 kcal,0.0 g,97.9 g,1.01 g,0.0 mg,0.0 g,0.52 g,0.0 g,40.6 mg
174861,"Beverages, lemonade-flavor drink, powder, prepared with water",Beverages,27.0 kcal,0.0 g,6.9 g,0.07 g,0.0 mg,0.0 g,92.87 g,0.0 g,2.9 mg
174862,"Limeade, frozen concentrate, prepared with water",Beverages,52.0 kcal,0.0 g,13.79 g,0.0 g,0.0 mg,0.0 g,86.08 g,0.0 g,3.1 mg
174863,"Malt beverage, includes non-alcoholic beer",Beverages,37.0 kcal,0.21 g,8.05 g,0.12 g,0.0 mg,0.0 g,91.15 g,0.3 g,0.5 mg
174864,"Beverages, OVALTINE, Classic Malt powder",Beverages,372.0 kcal,0.0 g,93.33 g,0.0 g,0.0 mg,0.0 g,1.43 g,0.0 g,54.5 mg
174865,"Beverages, Malted drink mix, chocolate, with added nutrients, powder, prepared with whole milk",Beverages,87.0 kcal,3.29 g,11.19 g,3.26 g,10.0 mg,0.4 g,81.26 g,0.0 g,12.0 mg
174866,"Beverages, malted drink mix, chocolate, powder",Beverages,411.0 kcal,5.1 g,86.94 g,4.76 g,1.0 mg,4.8 g,1.3 g,0.0 g,1.5 mg
174867,"Beverages, Malted drink mix, chocolate, powder, prepared with whole milk",Beverages,85.0 kcal,3.37 g,11.2 g,3.29 g,10.0 mg,0.5 g,81.34 g,0.0 g,0.1 mg
174868,"Beverages, orange drink, canned, with added vitamin C",Beverages,49.0 kcal,0.0 g,12.34 g,0.07 g,0.0 mg,0.0 g,87.47 g,0.0 g,57.3 mg
174869,"Strawberry-flavor beverage mix, powder",Beverages,389.0 kcal,0.1 g,99.1 g,0.2 g,0.0 mg,0.0 g,0.4 g,0.0 g,0.3 mg
174870,"Beverages, Strawberry-flavor beverage mix, powder, prepared with whole milk",Beverages,88.0 kcal,3.0 g,12.3 g,3.1 g,12.0 mg,0.0 g,80.9 g,,0.9 mg
174871,"Beverages, tea, black, brewed, prepared with tap water, decaffeinated",Beverages,1.0 kcal,0.0 g,0.3 g,0.0 g,0.0 mg,0.0 g,99.7 g,0.0 g,0.0 mg
174872,"Beverages, tea, instant, decaffeinated, unsweetened",Beverages,315.0 kcal,20.21 g,58.66 g,0.0 g,0.0 mg,8.5 g,5.09 g,0.0 g,0.0 mg
174873,"Beverages, tea, instant, unsweetened, prepared with water",Beverages,1.0 kcal,0.06 g,0.17 g,0.0 g,0.0 mg,0.0 g,99.62 g,0.0 g,0.0 mg
175088,"Beverages, tea, instant, lemon, unsweetened",Beverages,345.0 kcal,7.4 g,78.52 g,0.18 g,0.0 mg,5.0 g,4.3 g,0.0 g,0.0 mg
175089,"Beverages, tea, instant, lemon, sweetened, powder",Beverages,401.0 kcal,0.12 g,98.55 g,0.73 g,0.0 mg,0.7 g,0.13 g,0.0 g,0.0 mg
175090,"Beverages, tea, instant, lemon, sweetened, prepared with water",Beverages,35.0 kcal,0.01 g,8.61 g,0.06 g,0.0 mg,0.1 g,91.18 g,0.0 g,0.0 mg
175091,"Beverages, tea, instant, sweetened with sodium saccharin, lemon-flavored, powder",Beverages,338.0 kcal,3.3 g,85.4 g,0.6 g,0.0 mg,0.0 g,3.5 g,0.0 g,0.0 mg
175092,"Beverages, cocoa mix, with aspartame, powder, prepared with water",Beverages,29.0 kcal,1.21 g,5.61 g,0.23 g,0.0 mg,0.6 g,92.38 g,0.0 g,0.0 mg
175093,"Beverages, carbonated, cola, fast-food cola",Beverages,37.0 kcal,0.07 g,9.56 g,0.02 g,0.0 mg,0.0 g,90.31 g,0.0 g,0.0 mg
175094,"Beverages, fruit punch juice drink, frozen concentrate",Beverages,175.0 kcal,0.3 g,43.1 g,0.7 g,0.0 mg,0.2 g,55.5 g,,19.7 mg
175095,"Beverages, fruit punch juice drink, frozen concentrate, prepared with water",Beverages,42.0 kcal,0.07 g,11.4 g,0.17 g,0.0 mg,0.0 g,88.16 g,0.0 g,4.8 mg
175096,"Beverages, water, tap, well",Beverages,0.0 kcal,0.0 g,0.0 g,0.0 g,,0.0 g,99.9 g,,
175097,"Alcoholic beverage, liqueur, coffee, 53 proof",Beverages,336.0 kcal,0.1 g,46.8 g,0.3 g,0.0 mg,0.0 g,31.0 g,21.7 g,0.0 mg
175098,"Alcoholic beverage, liqueur, coffee with cream, 34 proof",Beverages,327.0 kcal,2.8 g,20.9 g,15.7 g,58.0 mg,0.0 g,46.5 g,13.8 g,0.2 mg
175099,"Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, contains caffeine",Beverages,2.0 kcal,0.11 g,0.29 g,0.03 g,0.0 mg,0.0 g,99.54 g,0.0 g,0.0 mg
